265,"Colorado, PR",31/03/2001,7,16,34,41,50,53
266,"LONDRINA, PR",07/04/2001,2,23,38,46,48,54
267,"Marília, SP",14/04/2001,1,8,45,46,55,58
268,"Campinas, SP",21/04/2001,5,6,10,21,33,47
269,"Divinópolis, MG",28/04/2001,17,18,19,25,49,52
270,"Itapecerica da Serra, SP",05/05/2001,5,9,27,35,40,45
271,"OSASCO, SP",12/05/2001,14,24,26,29,31,54
272,"Franca, SP",19/05/2001,9,10,24,36,56,58
273,"Goiânia, GO",26/05/2001,10,17,23,27,47,52
274,"Araras, SP",02/06/2001,11,13,18,26,39,47
275,"Guaratinguetá, SP",09/06/2001,16,19,30,37,38,48
276,"Ourinhos, SP",16/06/2001,22,39,45,53,57,59
277,"Caruaru, PE",23/06/2001,4,26,38,40,52,56
278,"Aracaju, SE",30/06/2001,10,15,18,22,31,55
279,"Rondonópolis, MT",07/07/2001,4,23,31,47,58,59
280,"JABOTICABAL, SP",14/07/2001,5,16,20,25,30,58
281,"Pitanga, PR",21/07/2001,5,11,31,38,47,53
282,"Porto Ferreira, SP",28/07/2001,9,14,23,24,33,36
283,"Piracicaba, SP",01/08/2001,25,28,34,42,48,54
284,"Itapira, SP",04/08/2001,7,8,14,30,32,36
285,"Betim, MG",08/08/2001,12,32,37,41,50,56
286,"Betim, MG",11/08/2001,29,35,37,44,47,56
287,"Maringá, PR",15/08/2001,3,13,25,33,47,60
288,"Maringá, PR",18/08/2001,6,9,11,17,18,50
289,"Matão, SP",22/08/2001,6,7,20,25,30,36
290,"Matão, SP",25/08/2001,7,25,26,30,40,57
291,"Pau dos Ferros, RN",29/08/2001,5,16,17,18,22,41
292,"Pau dos Ferros, RN",01/09/2001,13,23,24,34,45,53
293,"Feira de Santana, BA",05/09/2001,5,6,7,12,28,35
294,"Feira de Santana, BA",08/09/2001,22,25,28,41,45,57
295,"Presidente Prudente, SP",12/09/2001,7,12,24,31,44,50
296,"Presidente Prudente, SP",15/09/2001,3,20,42,46,51,52
297,"Porto Alegre, RS",19/09/2001,1,20,28,33,36,41
298,"Porto Alegre, RS",22/09/2001,5,22,23,24,34,60
299,"Aquidauana, MS",26/09/2001,2,5,7,33,49,53
300,"Campo Grande, MS",29/09/2001,24,27,28,38,41,57
301,"Concórdia, SC",03/10/2001,9,26,48,49,57,58
302,"Chapecó, SC",06/10/2001,12,25,30,40,41,60
303,"Blumenau, SC",10/10/2001,7,13,17,30,37,47
304,"Blumenau, SC",13/10/2001,7,11,34,41,42,59
305,"Jaraguá do Sul, SC",17/10/2001,5,11,27,38,53,60
306,"Jaraguá do Sul, SC",20/10/2001,19,30,41,47,56,57
307,"Manaus, AM",24/10/2001,13,16,17,26,41,44
308,"Manaus, AM",27/10/2001,4,11,25,29,39,55
309,"Juazeiro do Norte, CE",31/10/2001,4,11,25,39,50,55
310,"Juazeiro do Norte, CE",03/11/2001,2,14,28,29,31,32
311,"Poços de Caldas, MG",07/11/2001,22,24,30,32,38,41
312,"Poços de Caldas, MG",10/11/2001,14,23,30,41,47,50
313,"Sobral, CE",14/11/2001,14,16,24,37,38,53
314,"Sobral, CE",17/11/2001,5,32,34,37,40,58
315,"Dois Vizinhos, PR",21/11/2001,12,21,22,28,43,50
316,"Dois Vizinhos, PR",24/11/2001,6,24,28,43,51,56
317,"Telêmaco Borba, PR",28/11/2001,16,20,27,30,35,48
318,"ivaiporã, PR",01/12/2001,3,19,20,31,40,53
319,"Sertãozinho, SP",05/12/2001,12,16,17,19,23,48
320,"Sertãozinho, SP",08/12/2001,20,22,27,47,50,53
321,"Ipatinga, MG",12/12/2001,4,11,31,32,48,49
322,"Governador Valadares, MG",15/12/2001,11,18,29,44,47,56
323,"Indaiatuba, SP",19/12/2001,26,31,33,40,49,54
324,"Indaiatuba, SP",22/12/2001,8,15,22,25,30,47
325,"Sorocaba, SP",29/12/2001,1,3,4,21,23,53
326,"Guaratuba, PR",05/01/2002,21,23,40,44,51,52
327,"Caldas Novas, GO",09/01/2002,29,32,33,38,46,48
328,"Caldas Novas, GO",12/01/2002,5,7,14,21,23,51
329,"São Sebastião, SP",16/01/2002,10,11,12,24,35,40
330,"São Sebastião, SP",19/01/2002,2,4,14,23,37,51
331,"Três Lagoas, MS",23/01/2002,1,13,20,27,35,37
332,"Três Lagoas, MS",26/01/2002,23,28,29,34,42,44
333,"Dourados, MS",30/01/2002,4,27,35,44,52,53
334,"Dourados, MS",02/02/2002,14,23,24,26,41,51
335,"Corumbá, MS",06/02/2002,7,23,33,43,57,59
336,"Corumbá, MS",09/02/2002,2,18,22,26,30,54
337,"Vargem Grande do Sul, SP",16/02/2002,4,14,16,31,52,54
338,"Itu, SP",20/02/2002,1,4,9,36,46,48
339,"Itu, SP",23/02/2002,5,12,13,16,27,50
340,"São Lourenço do Sul, RS",27/02/2002,9,10,12,33,42,60
341,"São Lourenço do Sul, RS",02/03/2002,5,16,22,23,43,56
342,"São João Del Rey, MG",06/03/2002,16,29,34,49,51,54
343,"S. João Del Rey, MG",09/03/2002,4,6,7,12,24,41
344,"Barbacena, MG",13/03/2002,10,12,14,33,35,36
345,"Barbacena, MG",16/03/2002,11,22,46,51,56,58
346,"Passos, MG",20/03/2002,7,12,41,46,56,60
347,"Passos, MG",23/03/2002,1,10,12,26,48,52
348,"Bandeirantes, PR",27/03/2002,19,30,33,39,40,52
349,"Santo Antônio da Platina, PR",30/03/2002,8,9,28,32,38,54
350,"Marília, SP",03/04/2002,10,15,23,30,43,57
351,"Santa Rosa, RS",06/04/2002,15,16,24,41,59,60
352,"Santa Rosa, RS",10/04/2002,7,20,25,44,47,49
353,"Osasco, SP",13/04/2002,19,23,30,46,55,60
354,"Jales, SP",17/04/2002,7,16,38,40,41,52
355,"Jales, SP",20/04/2002,2,14,22,23,37,60
356,"Itapetininga, SP",24/04/2002,5,19,21,54,56,58
357,"Itapetininga, SP",27/04/2002,2,30,32,35,45,53
358,"Mandaguari, PR",04/05/2002,12,17,21,32,40,42
359,"Descalvado, SP",08/05/2002,13,19,20,29,31,54
360,"Espírito Santo do Pinhal, SP",11/05/2002,23,24,29,47,53,55
361,"Franca, SP",15/05/2002,16,28,31,41,45,59
362,"Franca, SP",18/05/2002,7,20,33,37,46,56
363,"Porto Feliz, SP",22/05/2002,19,29,39,47,49,54
364,"Salto, SP",25/05/2002,5,29,44,51,57,59
365,"Ituverava, SP",29/05/2002,19,23,34,37,52,58
366,"Orlândia, SP",01/06/2002,4,6,7,15,21,51
367,"Campina Grande, PB",05/06/2002,10,12,27,33,49,52
368,"Bananeiras, PB",08/06/2002,13,29,32,38,44,50
369,"Itabaiana, SE",12/06/2002,1,14,21,35,42,60
370,"Itabaiana, SE",15/06/2002,1,4,40,42,51,54
371,"Caruaru, PE",19/06/2002,4,18,23,33,39,60
372,"Caruaru, PE",22/06/2002,16,17,24,39,46,57
373,"Teresina, PI",26/06/2002,1,5,10,24,31,33
374,"Teresina, PI",29/06/2002,2,5,16,26,44,54
375,"Paranaíba, MS",03/07/2002,1,5,9,42,51,58
376,"Paranaíba, MS",06/07/2002,10,13,25,35,43,48
377,"Guariba, SP",10/07/2002,3,12,19,27,45,46
378,"Jaboticabal, SP",13/07/2002,5,38,41,45,48,55
379,"Rio Verde, GO",17/07/2002,24,33,40,41,55,59
380,"Rio Verde, GO",20/07/2002,13,22,30,31,47,57
381,"Concórida, SC",24/07/2002,9,10,28,46,55,56
382,"Concórdia, SC",27/07/2002,31,34,37,38,53,54
383,"Salvador, BA",31/07/2002,14,22,48,50,53,56
384,"Salvador, BA",03/08/2002,24,28,40,47,50,52
385,"Brasília, DF",07/08/2002,5,12,16,18,22,24
386,"Carapicuíba, SP",10/08/2002,17,35,36,39,43,54
387,"Olímpia, SP",14/08/2002,22,28,29,43,47,48
388,"Olímpia, SP",17/08/2002,23,36,48,52,53,58
389,"Anápolis, GO",21/08/2002,5,14,18,43,46,54
390,"Anápolis, GO",24/08/2002,7,12,22,34,38,53
391,"Curitiba, PR",28/08/2002,4,7,15,16,35,40
392,"Curitiba, PR",31/08/2002,15,23,31,39,47,49
393,"Jataí, GO",04/09/2002,6,12,35,36,40,50
394,"Jataí, GO",07/09/2002,5,15,35,42,45,49
395,"Feira de Santana, BA",11/09/2002,10,11,14,20,31,58
396,"Feira de Santana, BA",14/09/2002,6,18,34,42,45,47
397,"Assis, SP",18/09/2002,1,2,5,24,32,46
398,"Assis, SP",21/09/2002,7,16,22,28,36,37
399,"Tambaú, SP",25/09/2002,11,16,27,47,55,59
400,"Santa Rita do Passa Quatro, SP",28/09/2002,10,13,28,29,54,59
401,"São Roque, SP",02/10/2002,11,18,43,44,50,53
402,"São Roque, SP",05/10/2002,5,16,27,43,56,58
403,"Itabira, MG",09/10/2002,7,16,27,31,46,60
404,"Itabira, MG",12/10/2002,1,24,28,38,40,58
405,"Francisco Beltrão, PR",16/10/2002,24,29,34,47,57,60
406,"Francisco Beltrão, PR",19/10/2002,2,12,32,38,47,48
407,"Blumenau, SC",23/10/2002,2,18,22,49,51,57
408,"Blumenau, SC",26/10/2002,14,28,33,44,49,56
409,"Juazeiro do Norte, CE",30/10/2002,18,25,26,31,34,49
410,"Juazeiro do Norte, CE",02/11/2002,8,24,31,36,38,55
411,"Porto Alegre, RS",06/11/2002,10,12,31,38,45,56
412,"Porto Alegre, RS",09/11/2002,5,12,14,21,45,59
413,"Pato Branco, PR",13/11/2002,2,4,29,33,35,53
414,"Pato Branco, PR",16/11/2002,16,26,35,45,52,58
415,"Aracaju, SE",20/11/2002,1,4,27,38,42,44
416,"Aracaju, SE",23/11/2002,1,13,23,33,54,56
417,"Cananéia, SP",27/11/2002,7,12,21,25,34,42
418,"Registro, SP",30/11/2002,8,15,32,45,49,52
419,"Avaré, SP",04/12/2002,9,16,41,42,52,53
420,"Avaré, SP",07/12/2002,12,29,30,43,57,59
421,"Jandaia do Sul, PR",11/12/2002,5,35,37,38,45,51
422,"Jandaia do Sul, PR",14/12/2002,12,37,43,55,56,60
423,"Ribeirão Preto, SP",18/12/2002,8,22,32,33,40,53
424,"Ribeirão Preto, SP",21/12/2002,18,27,29,36,46,59
425,"Itapira, SP",28/12/2002,6,10,16,34,42,47
426,"Aguaí, SP",04/01/2003,7,30,32,37,50,54
427,"Ibiporã, PR",08/01/2003,3,13,14,24,43,51
428,"Londrina, PR",11/01/2003,8,28,30,32,46,60
429,"Guaratuba, PR",15/01/2003,17,26,32,36,43,55
430,"Guaratuba, PR",18/01/2003,8,10,21,25,38,50
431,"Caldas Novas, GO",22/01/2003,26,37,40,47,52,58
432,"Caldas Novas, GO",25/01/2003,4,13,17,27,39,50
433,"Jardim, MS",29/01/2003,16,17,28,30,36,54
434,"Bonito, MS",01/02/2003,4,10,17,24,30,54
435,"Mongaguá, SP",05/02/2003,10,11,17,31,37,43
436,"Itanhaém, SP",08/02/2003,1,6,7,29,48,57
437,"Santa Rosa de Viterbo, SP",12/02/2003,7,10,30,44,54,59
438,"Cajuru, SP",15/02/2003,3,5,11,14,38,48
439,"Dourados, MS",19/02/2003,13,20,29,42,43,57
440,"Dourados, MS",22/02/2003,3,5,23,30,46,47
441,"Corumbá, MS",26/02/2003,2,10,15,21,58,59
442,"Corumbá, MS",01/03/2003,6,15,23,31,37,59
